Branch,Rank,Standardized Pay Grade,Notes,,
AIRFORCE,Airman First Class,E-3,,,
AIRFORCE,Senior Airman,E-4,,,
AIRFORCE,enlisted Airman,E-2,,What we need help with:,
AIRFORCE,A1C,E-3,,"1. For each rank in the ""Rank"": column:",
AIRFORCE,Airman,E-2,,,a. Google the rank + ' pay grade'
AIRFORCE,SSgt,E-6,,,b. Usually the first hit will give you something
AIRFORCE,SrA,E-4,,,"c. Note the pay-grade in the ""Standardized Pay Grade""column"
AIRFORCE,Staff Sergeant,E-5,,,d. super fast.
AIRFORCE,Technical Sergeant,E-6,,,
AIRFORCE,TSgt,E-6,,,
AIRFORCE,Master,E-7,,,
AIRFORCE,Captain,O-3,,This is a helpful abbreviation cheat sheet for the navy: ,
AIRFORCE,AB,E-1,,https://www.cem.va.gov/CEM/docs/abbreviations/Ranks_Navy.pdf,
AIRFORCE,MSgt,E-7,,,
AIRFORCE,officer,,bad value,,
AIRFORCE,Major,O-4,,,
AIRFORCE,Capt,O-3,,,
AIRFORCE,1st,O-2,,,
AIRFORCE,Maj,O-4,,,
AIRFORCE,First Lieutenant,O-2,,,
AIRFORCE,Amn,E-2,,,
AIRFORCE,Senior Master Sergeant,E-8,,,
AIRFORCE,AFC,E-3,,,
AIRFORCE,Lieutenant,O-2,bad value - assuming first lieutenant,,
AIRFORCE,SMSgt,E-8,,,
AIRFORCE,2d,O-1,,,
AIRFORCE,Lt,O-2,,,
AIRFORCE,Cadet,cadet,,,
AIRFORCE,Colonel,O-6,,,
AIRFORCE,cadet,cadet,,,
AIRFORCE,CMSgt,E-9,,,
ARMY,SPC,E-4,,,
ARMY,SGT,E-5,,,
ARMY,PFC,E-3,,,
ARMY,SSG,E-6,,,
ARMY,PVT,E-3,,,
ARMY,SFC,E-7,,,
ARMY,PV2,E-3,,,
ARMY,Sergeant,E-5,,,
ARMY,Specialist,E-4,,,
ARMY,Staff Sergeant,E-6,,,
ARMY,CPT,O-3,,,
ARMY,MSG,E-8,,,
ARMY,Private First Class,E-3,,,
ARMY,Private,E-1,,,
ARMY,MAJ,O-4,,,
ARMY,1LT,O-2,,,
ARMY,CW2,W-2,,,
ARMY,LTC,O-5,,,
ARMY,Chief Warrant Officer,,bad value. assuming first CWO.,,
ARMY,Captain,O-3,,,
ARMY,WO1,W-1,WO-1,,
ARMY,2LT,O-1,,,
ARMY,CW3,W-3,,,
ARMY,First Lieutenant,O-2,,,
ARMY,SGM,E-9,,,
ARMY,Major,O-4,,,
ARMY,CDT,cadet,,,
ARMY,CPL,E-4,,,
ARMY,Private (E-1),E-1,,,
ARMY,CW4,W-4,,,
ARMY,COL,O-6,,,
ARMY,Second Lieutenant,O-1,,,
ARMY,United States Military Academy Cadet,cadet,,,
ARMY,1SG,E-8,,,
ARMY,PV1,E-4,,,
ARMY,CSM,E-9,,,
MARINES,Lance Corporal,E-3,,,
MARINES,Corporal,E-4,,,
MARINES,Sergeant,E-5,,,
MARINES,Private First Class,E-2,,,
MARINES,Staff Sergeant,E-6,,,
MARINES,Private,E-1,,,
MARINES,corporal,E-4,,,
MARINES,Gunnery,E-7,,,
MARINES,sergeant,E-5,,,
MARINES,lance corporal,E-3,,,
MARINES,staff sergeant,E-6,,,
MARINES,Lance,E-3,,,
MARINES,Master,E-8,"bad value - assuming ""master sergeant""",,
MARINES,gunnery sergeant,E-7,,,
MARINES,private first class,E-2,,,
NAVY,Hospitalman,E-3,,,
MARINES,Lieutenant,O-2,"Marines -- 2nd Lt. (O-1) or 1st Lt (O-2)? With so many Navy ranks in the mix, it might be a Navy Lt. (O-3) or Lt. Commander (O-4)",,
MARINES,Captain,O-3,"Same issue, if this is a navy rank, it may be O-6, if Marines, O-3.",,
NAVY,Seaman,E-3,,,
NAVY,Petty Officer Third Class,E-4,,,
NAVY,Petty Officer Second Class,E-5,,,
NAVY,Chief Warrant Officer,CWO-2,"Need specificity, which CWO (CWO2-CWO-5)",,
NAVY,Hospital Corpsman Third Class,E-4,,,
MARINES,private,E-1,,,
MARINES,master,,"Specificity is a bit important here. Be sure it's Master Sgt, not Master Gunnery Sgt.",,
MARINES,lance,E-3,,,
MARINES,lieutenant,O-1,"Marines -- 2nd Lt. (O-1) or 1st Lt (O-2)? With so many Navy ranks in the mix, it might be a Navy Lt. (O-3) or Lt. Commander (O-4)",,
MARINES,Colonel,O-6,,,
NAVY,petty officer second class,E-5,,,
NAVY,chief warrant officer 2,CWO-2,,,
NAVY,Petty Officer 2nd Class,E-5,,,
MARINES,Religious Program Specialist Second Class,E-5,"I think. Probably Navy, definetly not Marines",,
NAVY,hospitalman,E-3,,,
NAVY,Petty Officer First Class,E-6,,,
NAVY,Commander,O-5,,,
MARINES,major,O-4,,,
NAVY,Petty Officer 3rd Class,E-4,,,
NAVY,petty officer first class,E-6,,,
MARINES,Major,O-4,,,
MARINES,Captain,O-3,"If this is a navy rank, it may be O-6, if Marines, O-3.",,
NAVY,Petty 12   Officer First Class,E-6,Weird value here. Probably E-6,,
NAVY,Chief Hospital Corpsman,E-7,"Weird val.... assuming ""HOSPITAL CORPSMAN CHIEF PETTY OFFICER""",,
NAVY,Hospital Corpsman First Class,E-6,,,
NAVY,petty officer third class,E-4,,,
NAVY,E-4,E-4,,,
NAVY,E-5,E-5,,,
NAVY,SN,E-3,Seaman,,
NAVY,HN,E-3,Hospitalman,,
NAVY,E-6,E-6,,,
NAVY,E-3,E-3,,,
NAVY,HM2,E-5,,,
NAVY,HM3,E-4,,,
NAVY,AN,E-3,Airman,,
NAVY,SA,E-2,,,
NAVY,MA3,E-4,,,
NAVY,CSSN,E-3,,,
NAVY,LT,O-3,,,
NAVY,MM3,E-4,,,
NAVY,CS2,E-5,,,
NAVY,LCDR,O-4,,,
NAVY,IT2,E-5,,,
NAVY,LS1,E-6,,,
NAVY,PO2,E-5,,,
NAVY,CS3,E-4,,,
NAVY,PO3,E-4,,,
NAVY,MA2,E-5,,,
NAVY,ET3,E-4,,,
NAVY,HM1,E-6,,,
NAVY,BM2,E-5,,,
NAVY,IT1,E-6,,,
NAVY,IT3,E-4,,,
NAVY,EM3,E-4,,,
NAVY,ET2,E-5,,,
NAVY,PO1,E-6,,,
NAVY,LS2,E-5,,,
NAVY,YN2,E-5,,,
NAVY,SR,E-1,,,
NAVY,MM2,E-5,,,
NAVY,LTJG,O-2,,,
NAVY,STGSR,E-1,Sonar Technician (surface) Seaman Recrui,,
NAVY,OS3,E-4,,,
NAVY,AZ2,E-5,,,
NAVY,FC1,E-6,,,
NAVY,ABHAN,E-3,,,
NAVY,MASN,E-3,,,
NAVY,HMC,E-7,,,
NAVY,ABE1,E-6,,,
NAVY,MMFN,E-3,,,
NAVY,AT1,E-6,,,
NAVY,AO3,E-4,,,
NAVY,HA,E-2,,,
NAVY,AOAN,E-3,,,
NAVY,ABH3,E-4,,,
NAVY,FC3,E-4,,,
NAVY,CSSA,E-2,,,
NAVY,BMSN,E-3,,,
NAVY,MM1,E-6,,,
NAVY,AS2,E-5,,,
NAVY,AD2,E-5,,,
NAVY,EM2,E-5,,,
NAVY,AOAA,E-2,,,
NAVY,ITC,E-7,,,
NAVY,ABHAA,E-2,,,
NAVY,CPO,E-7,,,
NAVY,EMFA,E-2,,,
NAVY,LS3,E-4,,,
NAVY,ET1,E-6,,,
NAVY,Cpl,E-4,"Marines, most likely. Definitely not Navy",,
NAVY,E-2,E-2,,,
NAVY,GM3,E-4,,,
NAVY,ATAN,E-2,,,
NAVY,PS3,E-4,,,
NAVY,E-7,E-7,,,
NAVY,ENS,O-1,Ensign,,
NAVY,YN1,E-6,,,
NAVY,ENC,E-7,,,
NAVY,CS1,E-6,,,
NAVY,ABE3,E-4,,,
NAVY,BM3,E-4,,,
NAVY,MT2,E-5,,,
NAVY,AA,E-2,,,
NAVY,O-2,O-2,,,
NAVY,IS2,E-5,,,
NAVY,ABH2,E-5,,,
NAVY,E-8,E-8,,,
NAVY,LSSN,E-3,something seaman,,
NAVY,AT3,E-4,,,
NAVY,LSSA,E-2,,,
NAVY,GM2,E-5,,,
NAVY,GMSN,E-3,,,
NAVY,CSC,E-7,,,
NAVY,PR1,E-6,,,
NAVY,ABFAN,E-3,,,
NAVY,AO1,E-6,,,
NAVY,O-3,O-3,,,
NAVY,PFC,E-2,"Marines, most likely E-2 (E-3 if Army, but unlikely)",,
NAVY,ABE2,E-5,,,
NAVY,FC2,E-5,,,
NAVY,AEAN,E-3,,,
NAVY,DCFN,E-3,,,
NAVY,ABEAN,E-4,Petty officer 3rd class,,
NAVY,AM3,E-4,petty officer 3rd class,,
NAVY,EMFN,E-3,http://www.navy.mil/navydata/ranks/rates/rates2.html,,
NAVY,AMAR,E-1,,,
NAVY,GMC,E-7,,,
NAVY,AM2,E-5,,,
NAVY,PS1,E-6,,,
NAVY,BMC,E-7,,,
NAVY,CM2,E-5,,,
NAVY,EM1,E-6,,,
NAVY,ABF1,E-6,,,
NAVY,AD1,E-6,,,
NAVY,OSC,E-7,,,
NAVY,AD3,E-4,,,
NAVY,Sgt,E-5,Looks like a Marines Rank,,
NAVY,Midshipman,E-5,https://ttlc.intuit.com/questions/3574414-i-am-a-midshipman-at-the-united-state-naval-academy-my-pay-grade-is-not-listed-what-do-i-use,,
NAVY,FTSN,E-3,,,
NAVY,EN2,E-5,,,
NAVY,AME2,E-5,,,
NAVY,HR,E-1,,,
NAVY,CM3,E-4,,,
NAVY,CMCN,E-3,Constructionman,,
NAVY,OSSN,E-3,,,
NAVY,OS2,E-5,,,
NAVY,SH2,E-5,,,
NAVY,CAPT,O-6,,,
NAVY,MA1,E-6,,,
NAVY,STG3,E-4,,,
NAVY,GSM2,E-5,,,
NAVY,ITSN,E-3,,,
NAVY,QM3,E-4,,,
NAVY,AT2,E-5,,,
NAVY,MT3,E-4,,,
NAVY,O-4,O-4,,,
NAVY,YNC,E-7,,,
NAVY,CTRC,E-7,,,
NAVY,IC3,E-4,,,
NAVY,CSSR,E-1,,,
NAVY,GSM3,E-4,,,
NAVY,EMN2,E-5,,,
NAVY,QMSN,E3,QUARTERMASTER SEAMAN,,
NAVY,AR,E-1,airman recruit,,
NAVY,NCC,E-7,CHIEF PETTY OFFICER,,
NAVY,EMFR,E-1,Fireman's recruit,,
NAVY,HTFA,E-2,,,
NAVY,ETSN,E-3,Seaman,,
NAVY,LSSR,E-1,"Can't find this acronym... guessing it's ""recruit""",,
NAVY,ABF2,E-5,,,
NAVY,FT2,E-5,,,
NAVY,MR3,E-4,,,
NAVY,PS2,E-5,,,
NAVY,ADAN,E-3,,,
NAVY,ABEAR,E-1,,,
NAVY,CTI3,E-4,,,
NAVY,EMC,E-7,,,
NAVY,EN1,E-6,,,
NAVY,MIDN,E-3,,,
NAVY,HTC,E-7,,,
NAVY,BU1,E-6,,,
NAVY,AE3,E-4,,,
NAVY,GM1,E-6,,,
NAVY,CE2,E-5,,,
NAVY,STG2,E-5,,,
NAVY,AM1,E-6,,,
NAVY,IC2,E-5,,,
NAVY,HM,E-6,Check,,
NAVY,CTN2,E-5,,,
NAVY,BM1,E-6,,,
NAVY,RP3,E-4,,,
NAVY,ENFN,E-3,,,
NAVY,GySgt,E-7,Marines,,
NAVY,CTR1,E-6,,,
NAVY,ABH1,E-6,,,
NAVY,BU2,E-5,,,
NAVY,AE1,E-6,,,
NAVY,CTT2,E-5,,,
NAVY,ACC,E-7,,,
NAVY,FCSA,E-2,,,
NAVY,AWO2,E-5,Not sure if this is a Warrant Officer Rank,,"seems to be some version of ""aircrewman"": http://www.navybmr.com/active-duty/awo/awo2/"
NAVY,OS1,E-6,,,but I can't find too much on it
NAVY,GSMFN,E-3,,,
NAVY,Private,E-1,"Marines, most likely",,
NAVY,AMAN,E-3,,,
NAVY,CSCS,E-8,,,
NAVY,IS3,E-4,,,
NAVY,Lieutenant,O-3,,,
NAVY,DC2,E-5,,,
NAVY,PR2,E-5,,,
NAVY,EMCS,E-8,,,
NAVY,AZ1,E-6,,,
NAVY,STS2,E-5,,,
NAVY,AO2,E-5,,,
NAVY,STS3,E-4,,,
NAVY,HT2,E-5,,,
NAVY,CTT1,E-6,,,
NAVY,FT1,E-6,,,
NAVY,AOAR,E-2,,,
NAVY,AOCS,E-8,,,
NAVY,CWO2,CWO-2,,,
NAVY,UTCN,E-3,,,
NAVY,AME3,E-4,,,
NAVY,YN3,E-4,,,
NAVY,STSSN,E-3,,,
NAVY,AMEC,E-7,,,
NAVY,AOC,E-7,,,
NAVY,YNSR,E-1,,,
NAVY,CWO3,CWO-3,,,
NAVY,ETC,E-7,,,
NAVY,MMC,E-7,,,
NAVY,SH3,E-4,,,
NAVY,DCCS,E-4,,,
NAVY,MASA,E-2,,,
NAVY,CDR,O-5,,,
NAVY,ABHC,E-7,,,
NAVY,E-1,E-1,,,
NAVY,CTR3,E-4,,,
NAVY,AMAA,E-2,,,
NAVY,DCFA,E-2,,,
NAVY,MMA3,E-4,,,
NAVY,CPL,E-4,"Marines, most likely",,
NAVY,E5,E-5,,,
NAVY,OSSA,E-2,,,
NAVY,MR2,E-5,,,
NAVY,O-6,O-6,,,
NAVY,MMN1,E-6,,,
NAVY,CMCR,E-1,,,
NAVY,OSCS,E-8,,,
NAVY,MMFR,E-1,,,
NAVY,DC1,E-6,,,
NAVY,ACAN,E-3,,,
NAVY,AS1,E-6,,,
NAVY,MTCS,E-8,,,
NAVY,CTRSN,E-3,,,
NAVY,ATAA,E-2,,,
NAVY,NDCS,E-8,,,
NAVY,AEC,E-7,,,
NAVY,MMW2,E-5,,,
NAVY,MMN3,E-4,,,
NAVY,SCPO,E-8,,,
NAVY,Seaman,E-3,,,
NAVY,GSCS,E-8,,,
NAVY,AWS3,E-4,,,
NAVY,CTR2,E-5,,,
NAVY,CMDCM,E-9,,,
NAVY,AWS1,E-6,,,
NAVY,MAC,E-7,MACHINE ACCOUNTANT CHIEF PETTY OFFICER,,
NAVY,BUCN,E-3,,,
NAVY,ABHAR,E-1,,,
NAVY,O-1,O-1,,,
NAVY,PRC,E-7,,,
NAVY,SO1,E-6,,,
NAVY,SHCS,E-8,,,
NAVY,BU3,E-4,Petty officer 3rd class,,
NAVY,GSM1,E-6,Petty officer 1st class,,
NAVY,MMFA,E-2,http://www.navy.mil/navydata/ranks/rates/rates2.html,,
NAVY,EO3,E-4,,,
NAVY,ETR2,E-5,Petty officer 2nd class,,
NAVY,GSE3,E-4,,,
NAVY,CTIC,E-7,CHIEF PETTY OFFICER,http://www.navy.mil/navydata/ranks/rates/rates2.html,
NAVY,YNCS,E-7,,,
NAVY,ASAN,E-6,http://www.navybmr.com/reserve/as/as1/,,
NAVY,EODSN,E-3,,,
NAVY,GSMFA,E-2,,,
NAVY,CSSC,E-8,,,
NAVY,GSMFR,E-1,,,
NAVY,Navy Midshipman,E-5,,,
NAVY,HMCM,E-9,,,
NAVY,PVT,E-1,"Marines, most likely.",,
NAVY,AC2,E-5,,,
NAVY,AC3,E-4,,,
NAVY,HTFN,E-3,,,
NAVY,IS1,E-6,,,
NAVY,CTM3,E-4,,,
NAVY,HT1,E-6,,,
NAVY,SHSN,E-3,,,
NAVY,AWVC,E-7,http://www.navybmr.com/substitute/awv/awvc/,,
NAVY,ADC,E-7,,,
NAVY,AZAN,E-3,,,
NAVY,MC2,E-5,,,
NAVY,MC1,E-6,,,
NAVY,Lance,E-3,"Lance Cpl? Marines, E-3",,
NAVY,QMSA,E-2,,,
NAVY,MCSN,E-3,,,
NAVY,ABFAA,E-2,,,
NAVY,CM1,E-6,,,
NAVY,Major,O-4,"Marines, most likely",,
NAVY,CSSSR,E-1,,,
NAVY,AWV3,E-4,,,
NAVY,MMAFN,E-3,,,
NAVY,CTTSN,E-3,,,
NAVY,FR,E-1,,,
NAVY,SOC,E-7,,,
NAVY,MACS,E-8,,,
NAVY,NCCS,E-8,,,
NAVY,IC1,E-6,,,
NAVY,STGSN,E-3,,,
NAVY,FCC,E-7,,,
NAVY,ITSR,E-1,,,
NAVY,Sergeant,E-5,Marines? E-5,,
NAVY,ITS2,E-5,,,
NAVY,EODC,E-7,,,
NAVY,STS1,E-6,,,
NAVY,QM1,E-6,,,
NAVY,MN2,E-5,,,
NAVY,CTI2,E-5,,,
NAVY,CTN3,E-4,,,
NAVY,PSC,E-8,,,
NAVY,QMC,E-7,,,
NAVY,ABCM,E-9,,,
NAVY,ASAA,E-1,,,
NAVY,CE3,E-4,,,
NAVY,1stSgt,E-8,"Marines, most likely E-8",,
NAVY,E-9,E-9,,,
NAVY,ATC,E-7,,,
NAVY,FTSA,E-2,,,
NAVY,BMSR,E-1,,,
NAVY,ABF3,E-4,,,
NAVY,LSCM,E-9,,,
NAVY,EN3,E-4,,,
NAVY,STGCM,E-9,,,
NAVY,LSC,E-7,,,
NAVY,ND1,E-6,,,
NAVY,LSCS,E-8,,,
NAVY,STGC,E-7,,,
NAVY,PR3,E-6,,,
NAVY,AZ3,E-6,,,
NAVY,HT3,E-6,,,
NAVY,AS3,E-6,,,
NAVY,LNC,E-7,,,
NAVY,ETVSN,E-3,,,
NAVY,ND2,E-5,,,
NAVY,ND3,E-4,,,
NAVY,ICSA,E-2,,,
NAVY,MASR,E-1,,,
NAVY,ABFCS,E-8,,,
NAVY,SOCS,E-8,,,
NAVY,ITCS,E-8,,,
NAVY,AGAN,E-3,,,
NAVY,ETN2,E-5,,,
NAVY,FCSN,E-3,,,
NAVY,MMWC,E-7,,,
NAVY,FN,E-3,,,
NAVY,AWF3,E-4,,,
NAVY,ISC,E-7,,,
NAVY,NC1,E-6,,,